Date,Returns,VaR_VC_250_0.975_N,ES_VC_250_0.975_N,VaR_VC_250_0.975_t3,ES_VC_250_0.975_t3,VaR_VC_250_0.975_t4,ES_VC_250_0.975_t4,VaR_VC_250_0.975_t5,ES_VC_250_0.975_t5,VaR_VC_250_0.975_t6,ES_VC_250_0.975_t6,VaR_VC_500_0.975_N,ES_VC_500_0.975_N,VaR_VC_500_0.975_t3,ES_VC_500_0.975_t3,VaR_VC_500_0.975_t4,ES_VC_500_0.975_t4,VaR_VC_500_0.975_t5,ES_VC_500_0.975_t5,VaR_VC_500_0.975_t6,ES_VC_500_0.975_t6,VaR_VC_1000_0.975_N,ES_VC_1000_0.975_N,VaR_VC_1000_0.975_t3,ES_VC_1000_0.975_t3,VaR_VC_1000_0.975_t4,ES_VC_1000_0.975_t4,VaR_VC_1000_0.975_t5,ES_VC_1000_0.975_t5,VaR_VC_1000_0.975_t6,ES_VC_1000_0.975_t6,VaR_VC_250_0.99_N,ES_VC_250_0.99_N,VaR_VC_250_0.99_t3,ES_VC_250_0.99_t3,VaR_VC_250_0.99_t4,ES_VC_250_0.99_t4,VaR_VC_250_0.99_t5,ES_VC_250_0.99_t5,VaR_VC_250_0.99_t6,ES_VC_250_0.99_t6,VaR_VC_500_0.99_N,ES_VC_500_0.99_N,VaR_VC_500_0.99_t3,ES_VC_500_0.99_t3,VaR_VC_500_0.99_t4,ES_VC_500_0.99_t4,VaR_VC_500_0.99_t5,ES_VC_500_0.99_t5,VaR_VC_500_0.99_t6,ES_VC_500_0.99_t6,VaR_VC_1000_0.99_N,ES_VC_1000_0.99_N,VaR_VC_1000_0.99_t3,ES_VC_1000_0.99_t3,VaR_VC_1000_0.99_t4,ES_VC_1000_0.99_t4,VaR_VC_1000_0.99_t5,ES_VC_1000_0.99_t5,VaR_VC_1000_0.99_t6,ES_VC_1000_0.99_t6
2015-02-10,-3230.3623242113713,12225.896329263323,14729.732349626976,20326.957434877582,32633.7025592446,17636.496824493537,25701.969714243187,16272.29638585031,22574.287393584058,15452.768682844124,20815.379294334034,12123.194246742296,14576.296259238741,20060.10750300767,32117.487054357385,17424.162383519797,25326.2085305781,16087.604072884822,22261.900911046316,15284.68205994522,20538.632708586378,13427.71839727683,16208.919451529471,22426.182954962638,36096.22054366101,19437.683778032304,28396.61779830407,17922.36261989376,24922.4632223502,17012.050884998673,22968.71025283378,14653.82369196875,16899.39970682808,29327.75781423245,45645.28146356251,24067.754080778235,33833.14832362495,21536.227726752448,28742.79146718017,20063.35999119062,25960.217761419666,14501.925701681119,16702.00070518119,28878.529055017836,44865.418682604635,23725.106211296108,33292.62903432395,21244.87494086071,28305.415595699422,19801.85120573486,25579.223823552387,16124.601933533502,18618.93396212383,32424.056338277715,50549.1706058318,26581.370231888457,37428.5361574962,23769.411418522446,31774.289736993724,22133.385230863278,28683.473540942352
2015-02-13,-1291.8693811670926,12115.062899747598,14607.371002603084,20178.825890231867,32428.909499454163,17500.752436084585,25529.091062495423,16142.832915997278,22415.808911612214,15327.078402480769,20664.999005417845,12122.597550079488,14574.723827362586,20056.353854163506,32108.937514535577,17421.457196769927,25320.360260236954,16085.43050976974,22257.271486408972,15282.827863606411,20534.688723632593,13379.512467172437,16154.802658970144,22358.85266625616,35999.837442747026,19376.70492068117,28316.59859625882,17864.604261444387,24849.827610863504,16956.22720417638,22900.22693557122,14531.811836180115,16767.048989050447,29138.185662679254,45380.581761707625,23902.399525201272,33622.83289267488,21382.52857781618,28555.912560607485,19916.442076176187,25786.15010921009,14500.38285111527,16699.582762327293,28871.26782907715,44851.79858080713,23719.894788466863,33283.612075126715,21240.650044060752,28298.382328881784,19798.20027979502,25573.27491494605,16070.664340263153,18559.695186648267,32335.477656068644,50422.07077562749,26505.208959736596,37329.32149777496,23699.226378023926,31687.091998101252,22066.67722261783,28602.84468687768
2015-02-18,1057.615833483624,12114.864832634994,14602.681439571728,20164.095768065545,32392.102973302262,17490.848585588137,25504.718996719515,16135.376230831422,22397.047425867957,15321.091823705037,20649.392729713298,12112.045058664396,14563.619085590664,20044.014578849677,32093.88384245972,17409.711334051826,25306.835463017895,16073.985537434592,22244.43653615417,15271.563647703688,20522.241721157734,13372.092712557402,16146.868432731408,22349.76835931947,35988.22442742242,19368.173431751526,28306.409867438146,17856.3530793755,24840.281537467887,16948.144413226004,22891.042270949343,14527.258441581236,16758.46737717857,29107.309491873737,45320.43446840087,23880.958990399584,33583.87474568532,21365.629211124076,28526.085729271097,19902.184807197085,25761.31478623983,14489.294851886765,16687.99947501067,28856.943321830873,44833.87505262474,23706.730436644142,33268.29385124076,21228.044050022232,28284.186842813917,19785.919143984396,25559.693158095837,16062.745711232074,18551.315151547013,32324.543924350084,50407.7842273433,26495.35601870857,37317.46202828765,23689.893598245766,31676.27846138905,22057.64707793608,28592.602894960593
2015-02-24,-6571.0647342130205,12120.339044359023,14601.989395022565,20149.619304723088,32347.31839724453,17482.99798331711,25477.005363324148,16130.885277293084,22377.03640980595,15318.619140452221,20633.7134182888,12099.673990322175,14550.068999648081,20027.82884630922,32071.90305425795,17394.792497740564,25288.118720448034,16059.709081979947,22227.19257074479,15257.67309515082,20505.825998328764,13365.169705311604,16139.273164821436,22340.67027963479,35975.82208157021,19359.79771999436,28295.868638403637,17848.343644916647,24830.580067018647,16940.35501563596,22881.813053761663,14526.753339081257,16752.432041438096,29070.666544244137,45243.60596878329,23857.269978552777,33536.13626613359,21348.174649191053,28490.883392119893,19888.357511522765,25732.96515926182,14475.780510155333,16673.427726315305,28836.519251804137,44805.76731345177,23688.783220903897,33245.74826260663,21211.288890831576,28264.03822437953,19769.85753539734,25540.854810520534,16055.170824211345,18543.137344682124,32313.029199169483,50391.88837288867,26485.253563970073,37304.737640496736,23680.470838812504,31664.92079516191,22048.619772132406,28581.992328316792
2015-02-25,1036.1185532148634,12101.754726170293,14586.416875643577,20140.77954088901,32353.282094985392,17470.92193483894,25474.631061067303,16117.168267815892,22370.899900354223,15303.916342552628,20625.461164324777,12084.60513352875,14530.216694590694,19997.28333434879,32017.846146934004,17369.386970599957,25247.304527572633,16036.909788700843,22192.353651986912,15236.439466849904,20474.347381853226,13362.347154809899,16137.205121962706,22340.28890837593,35979.14923322618,19358.60560351211,28297.106976987146,17846.740439349833,24830.875907692338,16938.50485303581,22881.578863876883,14511.08951116492,16739.46935813097,29072.653607585966,45265.22095420362,23852.929921086845,33543.542745788334,21340.789484937817,28492.166814754633,19879.20067322347,25730.901496821156,14456.073224633468,16649.43038481433,28788.77817967174,44726.85246255042,23651.09111185159,33189.399876642434,21178.43313098299,28217.414699975707,19739.81561261932,25499.547248206043,16053.07990698628,18541.723110854982,32315.360135195882,50399.136442548304,26485.99944690725,37308.42623395209,23680.453869882796,31667.07545703291,22048.158968241252,28583.308487541828
2015-02-26,-3289.5999826084358,12048.118560138835,14526.767079179408,20067.686514581645,32250.63113580797,17404.290767724047,25388.628508274775,16053.813592135511,22292.409311378175,15242.529981368552,20551.195062570725,12061.398635358744,14504.504343400202,19965.969249150097,31974.215402740294,17340.76551334982,25210.61110017826,16009.653630840092,22158.790426461434,15210.003496874164,20442.544481340014,13366.427671909525,16140.609401135363,22342.18148476229,35977.717994577164,19361.22482153593,28297.547865989964,17849.728101660374,24832.16152350296,16941.713854008492,22883.339526917873,14451.622029600803,16674.608526462413,28977.94275701222,45131.319215725845,23770.8523732815,33438.01099749677,21264.79207329154,28398.860916980564,19806.740746526644,25644.278692421467,14430.436843249914,16621.54661846075,28748.456043373062,44670.19965779303,23616.03321655594,33144.56872045404,21145.908801347825,28177.678001251912,19708.765337208923,25462.595364729168,16056.504687626639,18544.541404626078,32314.82176860512,50394.191026823304,26486.881706104927,37306.671048083444,23682.01984563371,31666.695078595792,22050.122737224665,28583.679628716665
2015-02-27,-8268.941961090593,12040.757986377492,14514.562321717245,20044.652778581247,32203.7874802854,17386.46227892455,25355.195709930184,16038.624428545727,22265.027655199385,15228.926362003302,20527.21637442831,12051.242723915953,14489.916596877276,19941.47431290609,31927.937304851177,17321.032741088537,25176.60229490206,15992.335518049773,22130.317675509665,15194.135962953142,20417.18502956343,13359.862892351794,16133.874911481427,22335.067614989213,35969.76997317353,19354.293311280533,28290.06967768979,17842.88905696015,24824.89532962383,16934.930356925684,22876.19255189346,14439.56413298703,16658.20610303392,28937.49512883303,45059.301995346155,23740.581299854544,33388.84676843241,21239.41875618833,28359.54502603212,19784.216993779904,25610.346260326616,14415.98345642513,16603.118521440563,28708.02952752637,44600.89082970949,23584.917002533315,33096.16758184977,21119.273434797164,28138.286886428476,19684.736973211846,25428.129455734692,16049.775343064266,18537.659854840032,32307.097824256118,50385.361080129944,26479.514284999612,37298.64172820242,23674.82401147642,31659.01078328699,22043.026734095874,28576.183936354486
2015-03-02,-5281.091106069941,12033.27528420192,14504.638182068351,20029.270903298457,32176.40555848322,17373.703814800192,25334.57277401415,16027.196167375929,22247.454456071308,15218.297204939474,20511.35824933492,12052.035966374751,14494.115496441309,19953.286422451187,31956.48875101186,17329.185351281605,25195.72536595225,15998.632575850816,22145.1865488282,15199.318319023725,20429.661478690858,13361.31762192808,16136.50491771429,22340.32490509003,35980.80393161264,19358.287724928934,28297.84994709491,17846.24312798332,24831.20749489163,16937.89974949111,22881.679102539016,14429.714010262505,16646.166366697606,28913.336763733274,45019.23275853382,23721.551852990742,33360.29529246911,21222.85774705574,28335.957049228047,19769.092146781575,25589.471512209362,14420.07910687173,16610.268549988665,28732.084307723795,44647.14031032028,23601.817253063975,33126.35048508535,21132.730364501476,28161.546009570106,19696.19054389908,25447.60378952319,16052.369718499966,18541.30828215827,32316.580003882573,50402.50254913569,26486.52746923214,37310.23869500001,23680.648921474854,31668.21838531053,22048.16029408027,28584.08542492052
2015-03-03,7188.548377660261,12033.871721031941,14505.778450236501,20031.626884629597,32181.43455578448,17375.475430069804,25338.096204050624,16028.671479315775,22250.298555813042,15219.594516066272,20513.820315533932,12047.878417976131,14488.166084538638,19943.331371492026,31937.72641105188,17321.155721211682,25181.923701932606,15991.579232150416,22133.623202237126,15192.85146811664,20419.35688994351,13360.45916360262,16135.079899172286,22337.633363888173,35975.32765845313,19356.204972774613,28293.942164854834,17844.46906285548,24828.007434865984,16936.311124539505,22878.87704275998,14430.837791126163,16647.777885016552,28917.64771227262,45027.08786118271,23724.720332596153,33365.584808506326,21225.47638100296,28340.140943507973,19771.390874942237,25593.05103353133,14414.184018795457,16602.766421485674,28715.687858216228,44619.06626896327,23589.18511106077,33106.729764994714,21121.909902515028,28145.568189653237,19686.42413574051,25433.617310984166,16050.961876332602,18539.392318044058,32311.85178960368,50394.08205642599,26482.98947221588,37304.491014988576,23677.6837503576,31663.62253539478,22045.528398887,28580.11920711664
2015-03-04,2574.459218705637,12090.504807670983,14569.070046950843,20109.80331378535,32292.338601979973,17446.497053984418,25430.566529901665,16096.06525288733,22334.45136243556,15284.80890032356,20593.29561643917,12081.634441945647,14525.47712350367,19988.589504016516,32000.457997551515,17362.593864033577,25234.81342418535,16031.080445805694,22182.072155421636,15231.189093881283,20465.30849720851,13378.44310723387,16153.669520883734,22357.57695467607,35998.248251608515,19375.49774098304,28315.185971428407,17863.43183089778,24848.49465490272,16955.07564878237,22898.93878282433,14493.927522160122,16716.83932921311,29019.760181777776,45172.59390548245,23812.84475033974,33479.67856906088,21306.86865111504,28440.69779823489,19848.86631321027,25686.208124494013,14451.387280568186,16643.15801362089,28773.725573772528,44700.27205175374,23639.754529173933,33171.1643574596,21168.884990138125,28202.775353959878,19731.30800539097,25486.873700891185,16069.53313573531,18558.506782416483,32333.97267453132,50420.15015128157,26503.837961931855,37327.70175414472,23697.919863700037,31685.601916928757,22065.408225437808,28601.425483907973
