Date,AEX,GSPC,HSI,N225,Bond
2010-01-05,-0.0029487205764677,-0.007166914351502518,-0.025363434020923448,-0.01671498280618744,0.0001501328883177732
2010-01-06,-0.00158003844823,0.002099226446203084,-0.0035763079430275457,0.006555808216456516,0.0006520707005001364
2010-01-07,-0.0027272224725107,-0.010031727868105245,0.0008591240703681446,0.010109554595973735,0.00027588122760608167
2010-01-08,0.004073368372552,0.003594293087065492,0.0052515067871188315,-0.012875341958373365,2.595e-05
2010-01-13,0.0041781043085,-0.005041706611439212,0.02915967025614874,0.019936821160240537,0.000524824720940947
2010-01-14,0.0071598082916048,-0.00408614824785114,7.018633452315903e-05,-0.01923097893653769,0.00014910926680505082
2010-01-15,-0.0077218043908384,0.00333614463440679,-0.004603232684150083,-0.020393991128307087,0.0009000809727051083
2010-01-20,-0.0156661101618524,-0.0013700065026769348,0.00695581042975324,-0.00947217254057442,0.0007733300837238336
2010-01-21,-0.0123566559665801,0.018017477392146097,0.019287102806687106,-0.02179891354685415,0.0002740811027656515
2010-01-22,-0.0081312390641086,0.025187403324875457,0.009634585153840636,0.02226738074650425,0.0005233743715187135
2010-01-25,-0.0029483788288287,-0.003958774522009989,0.006374935227990153,0.014258097352692234,2.455e-05
2010-01-26,0.0034641584555048,-0.0005876739012484755,0.0200138713702106,0.004440838027064409,0.0005230742717739397
2010-01-27,-0.0072764752028504,-0.008559443202463157,6.575211235304579e-05,0.007152378344716492,2.4449999999999998e-05
2010-01-28,-0.0101657712635159,0.00736717573922685,-0.021749474067257468,-0.022473471584814053,0.0002735810404390282
2010-01-29,0.012119444658845,0.002609414255665188,0.003752965888194737,0.018988740256906556,0.0002734810279812975
2010-02-01,0.0103458203678732,-0.009891922921387408,-0.0011303710067669392,0.008920722700799355,0.00039692341610172305
2010-02-02,0.0082062862610419,-0.00940373273477757,0.001963756917668813,-0.016458412327326144,2.4275199999999998e-05
2010-02-03,-0.0030281995183427,9.51444599954776e-05,-0.02787604216205719,-0.004023536597353772,0.00014972867179013571
2010-02-04,-0.0298683942365807,0.02013711762076642,0.007814008926950722,-0.022709535933344904,2.425e-05
