Date,AEX,GSPC,HSI,N225,EURHKD,EURJPY,EURUSD,3M Libor
2015-09-25,422.79998779296875,1931.3399658203125,21186.3203125,17880.509765625,8.663689613342285,134.4010009765625,1.1178929805755615,-0.04143
2015-09-28,412.32000732421875,1881.77001953125,,17645.109375,8.68019962310791,134.8209991455078,1.1201720237731934,-0.04214
2015-09-29,412.1099853515625,1884.0899658203125,20556.599609375,16930.83984375,8.70283031463623,134.57699584960938,1.123103380203247,-0.04071
2015-09-30,421.1400146484375,1920.030029296875,20846.30078125,17388.150390625,8.722029685974121,134.906005859375,1.1255937814712524,-0.04071
2015-10-01,418.8299865722656,1923.8199462890625,,17722.419921875,8.655509948730469,133.86300659179688,1.11720609664917,-0.04571
2015-10-02,422.5799865722656,1951.3599853515625,21506.08984375,17725.130859375,8.67140007019043,134.08999633789062,1.1193444728851318,-0.04429
2015-10-05,436.8999938964844,1987.050048828125,21854.5,18005.490234375,8.696100234985352,134.64700317382812,1.1226998567581177,-0.04429
2015-10-06,440.7200012207031,1979.9200439453125,21831.619140625,18186.099609375,8.675399780273438,134.85000610351562,1.1195199489593506,-0.04429
2015-10-07,440.5899963378906,1995.8299560546875,22515.759765625,18322.98046875,8.731399536132812,135.47000122070312,1.1267986297607422,-0.04429
2015-10-08,442.0799865722656,2013.4300537109375,22354.91015625,18141.169921875,8.709199905395508,134.76400756835938,1.1239995956420898,-0.04571
2015-10-09,441.6499938964844,2014.8900146484375,22458.80078125,18438.669921875,8.744620323181152,135.322998046875,1.1286935806274414,-0.04571
2015-10-12,440.04998779296875,2017.4599609375,22730.9296875,,8.809900283813477,136.6199951171875,1.1369967460632324,-0.04571
2015-10-13,438.25,2003.68994140625,22600.4609375,18234.740234375,8.798399925231934,136.2899932861328,1.135550618171692,-0.04714
2015-10-14,434.32000732421875,1994.239990234375,22439.91015625,17891.0,8.82129955291748,136.2899932861328,1.138498306274414,-0.04714
2015-10-15,443.70001220703125,2023.8599853515625,22888.169921875,18096.900390625,8.891599655151367,136.35000610351562,1.147552251815796,-0.04929
2015-10-16,447.8599853515625,2033.1099853515625,23067.369140625,18291.80078125,8.808500289916992,135.3300018310547,1.1368157863616943,-0.055
2015-10-19,449.30999755859375,2033.6600341796875,23075.609375,18131.23046875,8.802200317382812,135.49000549316406,1.1361054182052612,-0.05714
2015-10-20,447.2699890136719,2030.77001953125,22989.220703125,18207.150390625,8.774900436401367,135.36000061035156,1.132900595664978,-0.05071
2015-10-21,449.7799987792969,2018.93994140625,,18554.279296875,8.797900199890137,135.99000549316406,1.1353960037231445,-0.05
2015-10-22,457.9700012207031,2052.510009765625,22845.369140625,18435.869140625,8.793919563293457,135.97999572753906,1.134803295135498,-0.05286
2015-10-23,465.04998779296875,2075.14990234375,23151.939453125,18825.30078125,8.583399772644043,133.9199981689453,1.108094573020935,-0.06643
2015-10-26,462.8699951171875,2071.179931640625,23116.25,18947.119140625,8.539400100708008,133.65899658203125,1.1020376682281494,-0.06857
2015-10-27,458.42999267578125,2065.889892578125,23142.73046875,18777.0390625,8.569700241088867,133.7760009765625,1.1065986156463623,-0.07
2015-10-28,463.2099914550781,2090.35009765625,22956.5703125,18903.01953125,8.550399780273438,132.91900634765625,1.1037039756774902,-0.07143
2015-10-29,462.989990234375,2089.409912109375,22819.939453125,18935.7109375,8.464099884033203,132.0500030517578,1.0928961038589478,-0.07143
2015-10-30,462.1199951171875,2079.360107421875,22640.0390625,19083.099609375,8.519200325012207,133.00999450683594,1.0993843078613281,-0.07429
2015-11-02,464.5799865722656,2104.050048828125,22370.0390625,18683.240234375,8.543020248413086,132.83099365234375,1.102596640586853,-0.07429
2015-11-03,466.8500061035156,2109.7900390625,22568.4296875,,8.536100387573242,133.04200744628906,1.1016006469726562,-0.07643
2015-11-04,468.8399963378906,2102.31005859375,23053.5703125,18926.91015625,8.49545955657959,132.7270050048828,1.0963950157165527,-0.07857
2015-11-05,466.6000061035156,2099.929931640625,23051.0390625,19116.41015625,8.421199798583984,132.00799560546875,1.0868029594421387,-0.07857
2015-11-06,469.8299865722656,2099.199951171875,22867.330078125,19265.599609375,8.43490982055664,132.42999267578125,1.0883997678756714,-0.08071
2015-11-09,465.010009765625,2078.580078125,22726.76953125,19642.740234375,8.319809913635254,132.22999572753906,1.0733413696289062,-0.08071
2015-11-10,465.20001220703125,2081.719970703125,22401.69921875,19671.259765625,8.337499618530273,132.4080047607422,1.0759514570236206,-0.08786
2015-11-11,469.20001220703125,2075.0,22352.169921875,19691.390625,8.322239875793457,132.15499877929688,1.0737563371658325,-0.08929
2015-11-12,459.8500061035156,2045.969970703125,22888.919921875,19697.76953125,8.340200424194336,132.10000610351562,1.0762988328933716,-0.09214
2015-11-13,453.54998779296875,2023.0400390625,22396.140625,19596.91015625,8.379561424255371,132.50999450683594,1.0815019607543945,-0.09214
2015-11-16,454.2900085449219,2053.18994140625,22010.8203125,19393.689453125,8.29170036315918,130.89999389648438,1.06999933719635,-0.095
2015-11-17,466.5400085449219,2050.43994140625,22264.25,19630.630859375,8.283040046691895,131.7220001220703,1.068798542022705,-0.09786
2015-11-18,465.92999267578125,2083.580078125,22188.259765625,19649.1796875,8.248809814453125,131.3699951171875,1.0643846988677979,-0.09786
2015-11-19,469.0,2081.239990234375,22500.220703125,19859.810546875,8.268670082092285,131.7969970703125,1.066996693611145,-0.09786
2015-11-20,468.69000244140625,2089.169921875,22754.720703125,19879.810546875,8.310979843139648,131.82000732421875,1.0726161003112793,-0.10357
2015-11-23,466.17999267578125,2086.590087890625,22665.900390625,,8.24429988861084,130.7689971923828,1.0641014575958252,-0.10786
2015-11-24,461.2900085449219,2089.139892578125,22587.630859375,19924.890625,8.243300437927246,130.78199768066406,1.0642033815383911,-0.11286
2015-11-25,468.07000732421875,2088.8701171875,22498.0,19847.580078125,8.247369766235352,130.3699951171875,1.0643846988677979,-0.11286
2015-11-26,472.239990234375,,22488.939453125,19944.41015625,8.232799530029297,130.3209991455078,1.0624960660934448,-0.11786
2015-11-27,472.1700134277344,2090.110107421875,22068.3203125,19883.939453125,8.217729568481445,130.02999877929688,1.0604453086853027,-0.11786
2015-11-30,469.5199890136719,2080.409912109375,21996.419921875,19747.470703125,8.201370239257812,129.9600067138672,1.0583018064498901,-0.11714
2015-12-01,467.32000732421875,2102.6298828125,22381.349609375,20012.400390625,8.19320011138916,130.22000122070312,1.0572947263717651,-0.12
2015-12-02,467.05999755859375,2079.510009765625,22479.689453125,19938.130859375,8.235799789428711,130.60000610351562,1.0625863075256348,-0.12143
2015-12-03,449.9200134277344,2049.6201171875,22417.009765625,19939.900390625,8.221199989318848,130.75,1.0613007545471191,-0.12857
2015-12-04,446.92999267578125,2091.68994140625,22235.890625,19504.48046875,8.459790229797363,133.88400268554688,1.0915957689285278,-0.11
2015-12-07,448.4599914550781,2077.070068359375,22203.220703125,19698.150390625,8.432889938354492,134.0399932861328,1.0883997678756714,-0.11214
2015-12-08,441.6099853515625,2063.590087890625,21905.130859375,19492.599609375,8.39585018157959,133.5659942626953,1.0834001302719116,-0.11429
