Date,AEX,GSPC,HSI,N225,EURHKD,EURJPY,EURUSD,Libor,Change Libor
2010-01-04,,,,,,,,0.65375,
2010-01-05,-0.002948720576467778,0.003110831966759875,0.0206933097050932,0.002534614516267908,-0.004353809816780796,-0.014042210377369635,-0.0040305221069684705,0.65313,-0.0006200000000000649
2010-01-06,-0.00158003844823007,0.0005453718878234426,0.0061343076270397034,0.004634526365791203,0.0025643794670759945,0.01121191827702539,0.002646804798315694,0.65,-0.003129999999999966
2010-01-07,-0.002727222472510782,0.003993218354654715,-0.006589126046634419,-0.004650434054388697,-0.005729632717674349,0.005510569130570353,-0.0059885257359098,0.64875,-0.0012499999999999734
2010-01-08,0.004073368372552011,0.0028775830750955578,0.0012251789537174318,0.010862328620850903,0.006490523369464984,-0.0019308307894680965,0.006478351153559603,0.64875,0.0
2010-01-11,-0.004161461462360627,0.0017452316285844205,0.005134163525456259,,0.0067508902274839855,0.0009733041367852024,0.0069268761983162785,0.6375,-0.011250000000000093
2010-01-12,-0.011073656608439286,-0.00942544643894383,-0.003794479155807551,,-0.002393659805946413,-0.013410875570563974,-0.002391436189911278,0.635,-0.0024999999999999467
2010-01-13,0.004178104308500075,0.008291456333360259,-0.02623124261833709,-0.01333491047524582,0.003362020580812697,0.006803330716422806,0.0032624165675256833,0.6325,-0.0025000000000000577
2010-01-14,0.007159808291604897,0.0024234864214136564,-0.001456344027504386,0.015954848241058528,-0.0013861552298051194,-0.0030935524786706026,-0.0016543361948232471,0.63188,-0.0006199999999999539
2010-01-15,-0.0077218043908384715,-0.010882126301208217,-0.0028954346462910507,0.006799539418958389,-0.007488104856814282,-0.013389279107853369,-0.007540404328297223,0.6275,-0.0043800000000000505
2010-01-18,0.003072315086296129,,-0.009006398747990474,-0.011633458679662922,0.0017006703020903124,0.0006124077359439539,0.0010943292439722918,0.62125,-0.006249999999999978
2010-01-19,0.007581097170441531,,0.010105828157929153,-0.00834230267940761,-0.008757907749732396,-0.0032966080672061082,-0.008764058934729368,0.62125,0.0
2010-01-20,-0.015666110161852487,-0.010654386601861354,-0.018239458035402834,-0.0025467714121418794,-0.011259343186086124,-0.011974364216603917,-0.01202345550187961,0.6175,-0.00374999999999992
2010-01-21,-0.012356655966580199,-0.019126657272988012,-0.02009612858472032,0.012116324377233312,-0.00062060292214694,-0.009448390262984496,-0.0009448887352587199,0.61625,-0.0012500000000000844
2010-01-22,-0.00813123906410862,-0.022389779630108464,-0.006563813411434083,-0.025898355050475885,0.003117484639683088,-0.0033793132774846413,0.0031202553669437694,0.61375,-0.0024999999999999467
2010-01-25,-0.0029483788288287016,0.004587559053796042,-0.006176897494492906,-0.007378935880311133,0.0002184444067889757,0.006981784785834222,0.0006365998603518053,0.61375,0.0
2010-01-26,0.003464158455504851,-0.004212057847785999,-0.024036832539344744,-0.017987856124925372,-0.0038199706622514817,-0.01353712828644138,-0.004799559136350773,0.61125,-0.0025000000000000577
2010-01-27,-0.007276475202850463,0.004868282868612184,-0.0037994667295961904,-0.0071146641585659864,-0.0037337124554781553,6.341506574258915e-05,-0.003654736000310188,0.61125,0.0
2010-01-28,-0.010165771263515921,-0.011888125534279759,0.01600941917678078,0.015698285785477495,-0.00550690954812838,-0.006526378152445389,-0.004493678129876444,0.61,-0.0012499999999999734
2010-01-29,0.012119444658845069,-0.009877799049982094,-0.011580584254963,-0.02098335643932714,-0.007820558320679183,-0.001812014778389326,-0.007264974338785257,0.60875,-0.0012499999999999734
2010-02-01,0.010345820367873237,0.014165305546369744,0.006032845388554975,0.0006841613568493443,0.004903112770062723,0.009644911933937017,0.00432198742738743,0.60688,-0.0018700000000000383
2010-02-02,0.008206286261041917,0.012889520445202862,0.001403383428950633,0.016142402398344302,0.0033690710452645156,-0.00018203823644213912,0.0035297275541917306,0.60688,0.0
2010-02-03,-0.003028199518342767,-0.005489350382538838,0.021950314857001274,0.003199960613484265,-0.00554426335101299,-0.000815503207324042,-0.005394201396022147,0.60625,-0.0006300000000000194
2010-02-04,-0.02986839423658072,-0.03163585604980668,-0.01852975482638719,-0.004657897258512733,-0.010685056555939543,-0.027113410317234354,-0.011293223003581432,0.60625,0.0
2010-02-05,-0.025664536096533297,0.0028929303608267176,-0.03382556940742276,-0.029286333026792732,-0.004806700571475808,-0.007351785369669628,-0.004730733220285832,0.60125,-0.0050000000000000044
2010-02-08,0.0046235995701247035,-0.008902803100374612,-0.005823636329941095,-0.01052236245892324,-0.0015068276446990048,-0.0013044842307490256,-0.0018587840154328794,0.60063,-0.0006199999999999539
2010-02-09,0.001767781130711299,0.012955841773586663,0.012170030885753746,-0.001902961360833899,0.008988566783769247,0.015469470841525279,0.009287239831575755,0.59813,-0.0024999999999999467
2010-02-10,-0.00303238418455809,-0.0022350694280079964,0.006644854478013329,0.003125098251633318,-0.0024408765628551876,-0.0006388134955619407,-0.0020927069825136813,0.59719,-0.0009400000000000519
2010-02-11,0.0022119828775899464,0.009633882335101873,0.018326406183966526,,-0.004927876921189789,-0.006076719874778647,-0.005212626465916803,0.59719,0.0
2010-02-12,-0.0033515622337185746,-0.002748366119941892,-0.0010848293416145793,,-0.0034782478046264664,-0.0020529067271812806,-0.0034282517526214584,0.59719,0.0
2010-02-15,0.00037997189129068687,,,-0.00784771014915897,-0.00210785868776453,-0.0013545855513585892,-0.0023424364887807414,0.59719,0.0
2010-02-16,0.009390367008448308,,,0.0020900512175323627,0.011795901069964643,0.014253204625870985,0.011987830695040502,0.59969,0.0024999999999999467
