permno,date,RET
77925,2005-01-31,0.05369
77925,2005-02-28,0.001703
77925,2005-03-31,-0.038695
77925,2005-04-29,0.028618
77925,2005-05-31,0.046264
77925,2005-06-30,0.03453
77925,2005-07-29,0.012027
77925,2005-08-31,0.006785
77925,2005-09-30,-0.015685
77925,2005-10-31,-0.028045
77925,2005-11-30,-0.008009
77925,2005-12-30,-0.015209
77925,2006-01-31,0.024055
77925,2006-02-28,0.015706
77925,2006-03-31,-0.004762
77925,2006-04-28,-0.012687
77925,2006-05-31,0.005533
77925,2006-06-30,-0.037179
77925,2006-07-31,0.030602
77925,2006-08-31,0.052649
77925,2006-09-29,0.005132
77925,2006-10-31,0.009013
77925,2006-11-30,0.000464
77925,2006-12-29,-0.014752
77925,2007-01-31,-0.005538
77925,2007-02-28,0.014377
77925,2007-03-30,0.0
77925,2007-04-30,0.009524
77925,2007-05-31,-0.015785
77925,2007-06-29,-0.021739
77925,2007-07-31,0.005785
77925,2007-08-31,-0.010726
77925,2007-09-28,0.009213
77925,2007-10-31,-0.029167
77925,2007-11-30,-0.001724
77925,2007-12-31,0.010408
77925,2008-01-31,0.033621
77925,2008-02-29,-0.087102
77925,2008-03-31,0.01659
77925,2008-04-30,0.04827
77925,2008-05-30,-0.004363
77925,2008-06-30,-0.026408
77925,2008-07-31,-0.030881
77925,2008-08-29,0.009416
77925,2008-09-30,-0.174321
77925,2008-10-31,0.004566
77925,2008-11-28,-0.066286
77925,2008-12-31,0.062808
77925,2009-01-30,0.130536
77925,2009-02-27,0.014508
77925,2009-03-31,-0.008214
77925,2009-04-30,0.062435
77925,2009-05-29,0.045276
77925,2009-06-30,-0.020104
77925,2009-07-31,0.053155
77925,2009-08-31,0.03962
77925,2009-09-30,0.078136
77925,2009-10-30,-0.027444
77925,2009-11-30,0.004534
77925,2009-12-31,0.021781
82224,2000-01-31,0.483648
82224,2000-02-29,0.166316
82224,2000-03-31,0.366764
82224,2000-04-28,-0.185961
82224,2000-05-31,-0.051178
58886,2000-01-31,0.228261
58886,2000-02-29,-0.082832
58886,2000-03-31,0.058252
58886,2000-04-28,0.036697
58886,2000-05-31,0.324248
58886,2000-06-30,0.020134
58886,2000-07-31,0.019737
58886,2000-08-31,0.210581
58886,2000-09-29,0.037433
58886,2000-10-31,-0.036082
58886,2000-11-30,0.062246
58886,2000-12-29,-0.005051
58886,2001-01-31,-0.061929
58886,2001-02-28,0.082251
58886,2001-03-30,0.207705
58886,2001-04-30,0.067251
58886,2001-05-31,-0.041781
58886,2001-06-29,-0.182796
58886,2001-07-31,0.047368
58886,2001-08-31,-0.150754
58886,2001-09-28,-0.108911
58886,2001-10-31,0.3
58886,2001-11-30,-0.141026
58886,2001-12-31,0.038961
58886,2002-01-31,0.129808
58886,2002-02-28,-0.060426
58886,2002-03-28,0.186
58886,2002-04-30,0.0371
58886,2002-05-31,0.121138
58886,2002-06-28,-0.032727
58886,2002-07-31,-0.037594
58886,2002-08-30,0.085156
58886,2002-09-30,0.48231
58886,2002-10-31,0.008281
58886,2002-11-29,0.002415
86269,2000-01-31,0.035714
86269,2000-02-29,-0.00431
86269,2000-03-31,-0.056623
86269,2000-04-28,-0.027778
86269,2000-05-31,0.009524
86269,2000-06-30,0.155283
86269,2000-07-31,0.135802
86269,2000-08-31,0.043478
86269,2000-09-29,0.034444
86269,2000-10-31,-0.02027
86269,2000-11-30,-0.006897
86269,2000-12-29,0.003194
86269,2001-01-31,0.010453
86269,2001-02-28,0.013793
86269,2001-03-30,0.009932
86269,2001-04-30,0.006644
86269,2001-05-31,0.004849
86269,2001-06-29,0.018231
86269,2001-07-31,-0.006359
86269,2001-08-31,0.005867
86269,2001-09-28,-0.016967
86269,2001-10-31,0.023887
86269,2001-11-30,-0.002651
86269,2001-12-31,0.012227
86269,2002-01-31,-0.010042
86269,2002-02-28,0.027763
86269,2002-03-28,0.037403
86269,2002-04-30,0.002519
86269,2002-05-31,0.148744
86269,2002-06-28,-0.038058
86269,2002-07-31,-0.181527
86269,2002-08-30,0.050279
86269,2002-09-30,0.084043
86269,2002-10-31,-0.06614
86269,2002-11-29,0.133192
86269,2002-12-31,0.217258
86269,2003-01-31,-0.001078
86269,2003-02-28,-0.024971
85814,2000-01-31,0.016166
85814,2000-02-29,0.022727
85814,2000-03-31,0.231111
85814,2000-04-28,-0.104693
85814,2000-05-31,-0.080645
85814,2000-06-30,0.649123
85814,2000-07-31,0.212766
85814,2000-08-31,0.410088
85814,2000-09-29,0.194401
85814,2000-10-31,-0.197917
85814,2000-11-30,-0.298701
85814,2000-12-29,0.060185
85814,2001-01-31,0.262009
85814,2001-02-28,-0.458477
85814,2001-03-30,0.169329
85814,2001-04-30,-0.068852
85814,2001-05-31,0.168545
85814,2001-06-29,-0.004018
85814,2001-07-31,-0.306172
85814,2001-08-31,-0.249419
85814,2001-09-28,-0.04725
85814,2001-10-31,0.14878
85814,2001-11-30,0.018401
85814,2001-12-31,-0.135511
85814,2002-01-31,-0.042604
85814,2002-02-28,-0.065491
85814,2002-03-28,-0.043127
85814,2002-04-30,0.023474
85814,2002-05-31,0.394495
85814,2002-06-28,-0.112355
85814,2002-07-31,-0.200279
85814,2002-08-30,-0.050046
85814,2002-09-30,-0.02439
85814,2002-10-31,-0.097
85814,2002-11-29,0.401993
85814,2002-12-31,1.177725
85814,2003-01-31,-0.223431
85814,2003-02-28,-0.165343
85814,2003-03-31,0.133184
85814,2003-04-30,0.062222
85814,2003-05-30,0.101348
85814,2003-06-30,0.038835
85814,2003-07-31,-0.187363
85814,2003-08-29,0.036052
85814,2003-09-30,-0.026062
85814,2003-10-31,0.042121
85814,2003-11-28,0.005706
85814,2003-12-31,-0.007092
85814,2004-01-30,0.00619
85814,2004-02-27,-0.067203
85814,2004-03-31,-0.106545
85814,2004-04-30,0.004543
85814,2004-05-28,-0.169022
85814,2004-06-30,0.011565
85814,2004-07-30,-0.125757
85814,2004-08-31,0.083846
85814,2004-09-30,0.079489
85814,2004-10-29,0.080868
